weekday,weekday_fct,weekday_chr,holiday,holiday_chr,holiday_fct,season,season_chr,season_fct,workingday,workingday_chr,workingday_fct,month,month_chr,month_fct,yr,yr_chr,yr_fct,weathersit,weathersit_chr,weathersit_fct,instant,dteday,mnth,temp,atemp,hum,windspeed,casual,registered,cnt
Tuesday,NA,other,Non-Holiday,other,NA,Summer,other,NA,Working Day,other,NA,May,May,May,2011,other,NA,Clouds/Mist,other,NA,137,2011-05-17,5,838,1182.539524,8300,1206,678,3445,4123
Wednesday,NA,other,Non-Holiday,other,NA,Summer,other,NA,Working Day,other,NA,May,May,May,2011,other,NA,Clouds/Mist,other,NA,138,2011-05-18,5,791,1169.394648,8700,871,536,3319,3855
Thursday,NA,other,Non-Holiday,other,NA,Summer,other,NA,Working Day,other,NA,May,May,May,2011,other,NA,Clouds/Mist,other,NA,139,2011-05-19,5,744,1150.417752,8200,469,735,3840,4575
Friday,NA,other,Non-Holiday,other,NA,Summer,other,NA,Working Day,other,NA,May,May,May,2011,other,NA,Good,other,NA,140,2011-05-20,5,791,1171.572552,7100,536,909,4008,4917
Saturday,NA,other,Non-Holiday,other,NA,Summer,other,NA,Non-Working Day,other,NA,May,May,May,2011,other,NA,Good,other,NA,141,2011-05-21,5,932,1221.2031,6200,536,2258,3547,5805
Sunday,NA,other,Non-Holiday,other,NA,Summer,other,NA,Non-Working Day,other,NA,May,May,May,2011,other,NA,Good,other,NA,142,2011-05-22,5,932,1224.122,7400,603,1576,3084,4660
Monday,NA,other,Non-Holiday,other,NA,Summer,other,NA,Working Day,other,NA,May,May,May,2011,other,NA,Clouds/Mist,other,NA,143,2011-05-23,5,979,1242.382176,8100,1005,836,3438,4274
Tuesday,NA,other,Non-Holiday,other,NA,Summer,other,NA,Working Day,other,NA,May,May,May,2011,other,NA,Clouds/Mist,other,NA,144,2011-05-24,5,1073,1259.163828,7400,871,659,3833,4492
Wednesday,NA,other,Non-Holiday,other,NA,Summer,other,NA,Working Day,other,NA,May,May,May,2011,other,NA,Good,other,NA,145,2011-05-25,5,1073,1271.5665519999998,6900,670,740,4238,4978
Thursday,NA,other,Non-Holiday,other,NA,Summer,other,NA,Working Day,other,NA,May,May,May,2011,other,NA,Good,other,NA,146,2011-05-26,5,1167,1316.8193280000003,6700,871,758,3919,4677
Friday,NA,other,Non-Holiday,other,NA,Summer,other,NA,Working Day,other,NA,May,May,May,2011,other,NA,Good,other,NA,147,2011-05-27,5,1120,1296.381248,6500,1072,871,3808,4679
Saturday,NA,other,Non-Holiday,other,NA,Summer,other,NA,Non-Working Day,other,NA,May,May,May,2011,other,NA,Good,other,NA,148,2011-05-28,5,1026,1267.910124,7200,1005,2001,2757,4758
Sunday,NA,other,Non-Holiday,other,NA,Summer,other,NA,Non-Working Day,other,NA,May,May,May,2011,other,NA,Good,other,NA,149,2011-05-29,5,1073,1271.5758000000003,8100,938,2355,2433,4788
Monday,NA,other,Holiday,other,NA,Summer,other,NA,Non-Working Day,other,NA,May,May,May,2011,other,NA,Good,other,NA,150,2011-05-30,5,1214,1335.782352,6800,536,1549,2549,4098
Tuesday,NA,other,Non-Holiday,other,NA,Summer,other,NA,Working Day,other,NA,May,May,May,2011,other,NA,Good,other,NA,151,2011-05-31,5,1308,1398.5427479999998,6300,469,673,3309,3982
Wednesday,NA,other,Non-Holiday,other,NA,Summer,other,NA,Working Day,other,NA,June,June,June,2011,other,NA,Clouds/Mist,other,NA,152,2011-06-01,6,1261,1393.437852,6700,871,513,3461,3974
Thursday,NA,other,Non-Holiday,other,NA,Summer,other,NA,Working Day,other,NA,June,June,June,2011,other,NA,Good,other,NA,153,2011-06-02,6,1167,1304.396952,3000,1273,736,4232,4968
Friday,NA,other,Non-Holiday,other,NA,Summer,other,NA,Working Day,other,NA,June,June,June,2011,other,NA,Good,other,NA,154,2011-06-03,6,979,1238.725748,3500,1072,898,4414,5312
Saturday,NA,other,Non-Holiday,other,NA,Summer,other,NA,Non-Working Day,other,NA,June,June,June,2011,other,NA,Good,other,NA,155,2011-06-04,6,979,1247.468576,4500,536,1869,3473,5342
Sunday,NA,other,Non-Holiday,other,NA,Summer,other,NA,Non-Working Day,other,NA,June,June,June,2011,other,NA,Clouds/Mist,other,NA,156,2011-06-05,6,1026,1273.025424,6500,603,1685,3221,4906
Monday,NA,other,Non-Holiday,other,NA,Summer,other,NA,Working Day,other,NA,June,June,June,2011,other,NA,Good,other,NA,157,2011-06-06,6,1073,1278.867848,6000,536,673,3875,4548
Tuesday,NA,other,Non-Holiday,other,NA,Summer,other,NA,Working Day,other,NA,June,June,June,2011,other,NA,Good,other,NA,158,2011-06-07,6,1167,1318.2782000000002,5900,804,763,4070,4833
Wednesday,NA,other,Non-Holiday,other,NA,Summer,other,NA,Working Day,other,NA,June,June,June,2011,other,NA,Good,other,NA,159,2011-06-08,6,1308,1400.734524,6200,603,676,3725,4401
Thursday,NA,other,Non-Holiday,other,NA,Summer,other,NA,Working Day,other,NA,June,June,June,2011,other,NA,Clouds/Mist,other,NA,160,2011-06-09,6,1355,1435.761324,5600,670,563,3352,3915
Friday,NA,other,Non-Holiday,other,NA,Summer,other,NA,Working Day,other,NA,June,June,June,2011,other,NA,Good,other,NA,161,2011-06-10,6,1261,1373.005552,6000,603,815,3771,4586
Saturday,NA,other,Non-Holiday,other,NA,Summer,other,NA,Non-Working Day,other,NA,June,June,June,2011,other,NA,Good,other,NA,162,2011-06-11,6,1214,1343.811928,6500,670,1729,3237,4966
Sunday,NA,other,Non-Holiday,other,NA,Summer,other,NA,Non-Working Day,other,NA,June,June,June,2011,other,NA,Good,other,NA,163,2011-06-12,6,1120,1303.6837000000003,7400,670,1467,2993,4460
Monday,NA,other,Non-Holiday,other,NA,Summer,other,NA,Working Day,other,NA,June,June,June,2011,other,NA,Good,other,NA,164,2011-06-13,6,979,1255.512024,4900,1340,863,4157,5020
Tuesday,NA,other,Non-Holiday,other,NA,Summer,other,NA,Working Day,other,NA,June,June,June,2011,other,NA,Good,other,NA,165,2011-06-14,6,932,1243.827176,5000,1206,727,4164,4891
Wednesday,NA,other,Non-Holiday,other,NA,Summer,other,NA,Working Day,other,NA,June,June,June,2011,other,NA,Good,other,NA,166,2011-06-15,6,979,1239.4436240000002,4700,737,769,4411,5180
Thursday,NA,other,Non-Holiday,other,NA,Summer,other,NA,Working Day,other,NA,June,June,June,2011,other,NA,Clouds/Mist,other,NA,167,2011-06-16,6,979,1248.219976,6800,871,545,3222,3767
Friday,NA,other,Non-Holiday,other,NA,Summer,other,NA,Working Day,other,NA,June,June,June,2011,other,NA,Good,other,NA,168,2011-06-17,6,1026,1254.0427479999998,7300,603,863,3981,4844
Saturday,NA,other,Non-Holiday,other,NA,Summer,other,NA,Non-Working Day,other,NA,June,June,June,2011,other,NA,Good,other,NA,169,2011-06-18,6,1120,1304.410824,6700,536,1807,3312,5119
Sunday,NA,other,Non-Holiday,other,NA,Summer,other,NA,Non-Working Day,other,NA,June,June,June,2011,other,NA,Clouds/Mist,other,NA,170,2011-06-19,6,1120,1306.597976,6600,402,1639,3105,4744
Monday,NA,other,Non-Holiday,other,NA,Summer,other,NA,Working Day,other,NA,June,June,June,2011,other,NA,Clouds/Mist,other,NA,171,2011-06-20,6,979,1248.219976,7400,670,699,3311,4010
Tuesday,NA,other,Non-Holiday,other,NA,Fall,other,NA,Working Day,other,NA,June,June,June,2011,other,NA,Clouds/Mist,other,NA,172,2011-06-21,6,1073,1297.118776,7700,737,774,4061,4835
Wednesday,NA,other,Non-Holiday,other,NA,Fall,other,NA,Working Day,other,NA,June,June,June,2011,other,NA,Good,other,NA,173,2011-06-22,6,1214,1362.0663240000001,7000,737,661,3846,4507
Thursday,NA,other,Non-Holiday,other,NA,Fall,other,NA,Working Day,other,NA,June,June,June,2011,other,NA,Clouds/Mist,other,NA,174,2011-06-23,6,1214,1362.070948,7000,1005,746,4044,4790
Friday,NA,other,Non-Holiday,other,NA,Fall,other,NA,Working Day,other,NA,June,June,June,2011,other,NA,Good,other,NA,175,2011-06-24,6,1214,1319.009948,5700,938,969,4022,4991
Saturday,NA,other,Non-Holiday,other,NA,Fall,other,NA,Non-Working Day,other,NA,June,June,June,2011,other,NA,Good,other,NA,176,2011-06-25,6,1120,1303.669828,4800,938,1782,3420,5202
Sunday,NA,other,Non-Holiday,other,NA,Fall,other,NA,Non-Working Day,other,NA,June,June,June,2011,other,NA,Good,other,NA,177,2011-06-26,6,1073,1297.099124,5100,402,1920,3385,5305
Monday,NA,other,Non-Holiday,other,NA,Fall,other,NA,Working Day,other,NA,June,June,June,2011,other,NA,Clouds/Mist,other,NA,178,2011-06-27,6,1120,1296.376624,6500,469,854,3854,4708
Tuesday,NA,other,Non-Holiday,other,NA,Fall,other,NA,Working Day,other,NA,June,June,June,2011,other,NA,Good,other,NA,179,2011-06-28,6,1214,1360.5970479999999,6300,603,732,3916,4648
Wednesday,NA,other,Non-Holiday,other,NA,Fall,other,NA,Working Day,other,NA,June,June,June,2011,other,NA,Good,other,NA,180,2011-06-29,6,1214,1316.8193280000003,4900,1139,848,4377,5225
Thursday,NA,other,Non-Holiday,other,NA,Fall,other,NA,Working Day,other,NA,June,June,June,2011,other,NA,Good,other,NA,181,2011-06-30,6,1120,1296.381248,4300,804,1027,4488,5515
Friday,NA,other,Non-Holiday,other,NA,Fall,other,NA,Working Day,other,NA,July,July,July,2011,other,NA,Good,other,NA,182,2011-07-01,7,1167,1313.8992719999999,3900,402,1246,4116,5362
Saturday,NA,other,Non-Holiday,other,NA,Fall,other,NA,Non-Working Day,other,NA,July,July,July,2011,other,NA,Good,other,NA,183,2011-07-02,7,1214,1331.4080480000002,4400,469,2204,2915,5119
Sunday,NA,other,Non-Holiday,other,NA,Fall,other,NA,Non-Working Day,other,NA,July,July,July,2011,other,NA,Clouds/Mist,other,NA,184,2011-07-03,7,1167,1332.8727,6800,1005,2282,2367,4649
Monday,NA,other,Holiday,other,NA,Fall,other,NA,Non-Working Day,other,NA,July,July,July,2011,other,NA,Clouds/Mist,other,NA,185,2011-07-04,7,1214,1329.222052,6300,335,3065,2978,6043
Tuesday,NA,other,Non-Holiday,other,NA,Fall,other,NA,Working Day,other,NA,July,July,July,2011,other,NA,Good,other,NA,186,2011-07-05,7,1261,1364.966728,5900,536,1031,3634,4665
Wednesday,NA,other,Non-Holiday,other,NA,Fall,other,NA,Working Day,other,NA,July,July,July,2011,other,NA,Good,other,NA,187,2011-07-06,7,1167,1352.5917479999998,7400,670,784,3845,4629
Thursday,NA,other,Non-Holiday,other,NA,Fall,other,NA,Working Day,other,NA,July,July,July,2011,other,NA,Good,other,NA,188,2011-07-07,7,1261,1354.022876,6500,670,754,3838,4592
Friday,NA,other,Non-Holiday,other,NA,Fall,other,NA,Working Day,other,NA,July,July,July,2011,other,NA,Clouds/Mist,other,NA,189,2011-07-08,7,1167,1335.0783480000002,7500,1005,692,3348,4040
Saturday,NA,other,Non-Holiday,other,NA,Fall,other,NA,Non-Working Day,other,NA,July,July,July,2011,other,NA,Good,other,NA,190,2011-07-09,7,1214,1327.766648,6000,737,1988,3348,5336
Sunday,NA,other,Non-Holiday,other,NA,Fall,other,NA,Non-Working Day,other,NA,July,July,July,2011,other,NA,Good,other,NA,191,2011-07-10,7,1261,1357.6689000000001,5700,804,1743,3138,4881
Monday,NA,other,Non-Holiday,other,NA,Fall,other,NA,Working Day,other,NA,July,July,July,2011,other,NA,Good,other,NA,192,2011-07-11,7,1261,1403.653424,6300,1206,723,3363,4086
Tuesday,NA,other,Non-Holiday,other,NA,Fall,other,NA,Working Day,other,NA,July,July,July,2011,other,NA,Good,other,NA,193,2011-07-12,7,1355,1414.6019000000001,5500,871,662,3596,4258
Wednesday,NA,other,Non-Holiday,other,NA,Fall,other,NA,Working Day,other,NA,July,July,July,2011,other,NA,Good,other,NA,194,2011-07-13,7,1261,1356.951024,6300,603,748,3594,4342
Thursday,NA,other,Non-Holiday,other,NA,Fall,other,NA,Working Day,other,NA,July,July,July,2011,other,NA,Good,other,NA,195,2011-07-14,7,1073,1294.180224,4700,1072,888,4196,5084
Friday,NA,other,Non-Holiday,other,NA,Fall,other,NA,Working Day,other,NA,July,July,July,2011,other,NA,Good,other,NA,196,2011-07-15,7,1073,1281.772876,5900,804,1318,4220,5538
Saturday,NA,other,Non-Holiday,other,NA,Fall,other,NA,Non-Working Day,other,NA,July,July,July,2011,other,NA,Good,other,NA,197,2011-07-16,7,1120,1297.8320279999998,5800,871,2418,3505,5923
Sunday,NA,other,Non-Holiday,other,NA,Fall,other,NA,Non-Working Day,other,NA,July,July,July,2011,other,NA,Good,other,NA,198,2011-07-17,7,1167,1334.326948,6000,1072,2006,3296,5302
Monday,NA,other,Non-Holiday,other,NA,Fall,other,NA,Working Day,other,NA,July,July,July,2011,other,NA,Good,other,NA,199,2011-07-18,7,1261,1373.7373,6500,938,841,3617,4458
Tuesday,NA,other,Non-Holiday,other,NA,Fall,other,NA,Working Day,other,NA,July,July,July,2011,other,NA,Good,other,NA,200,2011-07-19,7,1308,1424.085724,6500,536,752,3789,4541
Wednesday,NA,other,Non-Holiday,other,NA,Fall,other,NA,Working Day,other,NA,July,July,July,2011,other,NA,Good,other,NA,201,2011-07-20,7,1308,1423.3586,7000,469,644,3688,4332
Thursday,NA,other,Non-Holiday,other,NA,Fall,other,NA,Working Day,other,NA,July,July,July,2011,other,NA,Clouds/Mist,other,NA,202,2011-07-21,7,1402,1515.2848760000002,6900,938,632,3152,3784
Friday,NA,other,Non-Holiday,other,NA,Fall,other,NA,Working Day,other,NA,July,July,July,2011,other,NA,Good,other,NA,203,2011-07-22,7,1449,1532.075776,5800,536,562,2825,3387
Saturday,NA,other,Non-Holiday,other,NA,Fall,other,NA,Non-Working Day,other,NA,July,July,July,2011,other,NA,Good,other,NA,204,2011-07-23,7,1449,1489.7557720000002,5000,536,987,2298,3285
Sunday,NA,other,Non-Holiday,other,NA,Fall,other,NA,Non-Working Day,other,NA,July,July,July,2011,other,NA,Good,other,NA,205,2011-07-24,7,1449,1478.822324,5500,737,1050,2556,3606
Monday,NA,other,Non-Holiday,other,NA,Fall,other,NA,Working Day,other,NA,July,July,July,2011,other,NA,Good,other,NA,206,2011-07-25,7,1214,1393.427448,7500,402,568,3272,3840
Tuesday,NA,other,Non-Holiday,other,NA,Fall,other,NA,Working Day,other,NA,July,July,July,2011,other,NA,Good,other,NA,207,2011-07-26,7,1308,1365.707724,5400,871,750,3840,4590
Wednesday,NA,other,Non-Holiday,other,NA,Fall,other,NA,Working Day,other,NA,July,July,July,2011,other,NA,Good,other,NA,208,2011-07-27,7,1308,1358.411052,4000,804,755,3901,4656
Thursday,NA,other,Non-Holiday,other,NA,Fall,other,NA,Working Day,other,NA,July,July,July,2011,other,NA,Good,other,NA,209,2011-07-28,7,1308,1415.3244,5800,737,606,3784,4390
Friday,NA,other,Non-Holiday,other,NA,Fall,other,NA,Working Day,other,NA,July,July,July,2011,other,NA,Good,other,NA,210,2011-07-29,7,1449,1468.577852,5400,737,670,3176,3846
Saturday,NA,other,Non-Holiday,other,NA,Fall,other,NA,Non-Working Day,other,NA,July,July,July,2011,other,NA,Good,other,NA,211,2011-07-30,7,1355,1402.188772,4600,737,1559,2916,4475
Sunday,NA,other,Non-Holiday,other,NA,Fall,other,NA,Non-Working Day,other,NA,July,July,July,2011,other,NA,Good,other,NA,212,2011-07-31,7,1355,1403.6441759999998,4800,737,1524,2778,4302
Monday,NA,other,Non-Holiday,other,NA,Fall,other,NA,Working Day,other,NA,August,August,August,2011,other,NA,Good,other,NA,213,2011-08-01,8,1308,1373.005552,5500,670,729,3537,4266
Tuesday,NA,other,Non-Holiday,other,NA,Fall,other,NA,Working Day,other,NA,August,August,August,2011,other,NA,Good,other,NA,214,2011-08-02,8,1308,1377.374076,4900,871,801,4044,4845
Wednesday,NA,other,Non-Holiday,other,NA,Fall,other,NA,Working Day,other,NA,August,August,August,2011,other,NA,Clouds/Mist,other,NA,215,2011-08-03,8,1214,1346.0071719999999,6500,603,467,3107,3574
Thursday,NA,other,Non-Holiday,other,NA,Fall,other,NA,Working Day,other,NA,August,August,August,2011,other,NA,Clouds/Mist,other,NA,216,2011-08-04,8,1167,1328.494928,7500,871,799,3777,4576
Friday,NA,other,Non-Holiday,other,NA,Fall,other,NA,Working Day,other,NA,August,August,August,2011,other,NA,Good,other,NA,217,2011-08-05,8,1167,1318.991452,6300,804,1023,3843,4866
Saturday,NA,other,Non-Holiday,other,NA,Fall,other,NA,Non-Working Day,other,NA,August,August,August,2011,other,NA,Clouds/Mist,other,NA,218,2011-08-06,8,1167,1341.6340240000002,7500,1005,1521,2773,4294
Sunday,NA,other,Non-Holiday,other,NA,Fall,other,NA,Non-Working Day,other,NA,August,August,August,2011,other,NA,Good,other,NA,219,2011-08-07,8,1214,1386.8775520000002,7500,871,1298,2487,3785
Monday,NA,other,Non-Holiday,other,NA,Fall,other,NA,Working Day,other,NA,August,August,August,2011,other,NA,Good,other,NA,220,2011-08-08,8,1261,1372.995148,5900,804,846,3480,4326
Tuesday,NA,other,Non-Holiday,other,NA,Fall,other,NA,Working Day,other,NA,August,August,August,2011,other,NA,Good,other,NA,221,2011-08-09,8,1308,1397.0838760000001,5700,670,907,3695,4602
Wednesday,NA,other,Non-Holiday,other,NA,Fall,other,NA,Working Day,other,NA,August,August,August,2011,other,NA,Good,other,NA,222,2011-08-10,8,1308,1351.8403480000002,4200,871,884,3896,4780
Thursday,NA,other,Non-Holiday,other,NA,Fall,other,NA,Working Day,other,NA,August,August,August,2011,other,NA,Good,other,NA,223,2011-08-11,8,1167,1313.158276,4200,737,812,3980,4792
Friday,NA,other,Non-Holiday,other,NA,Fall,other,NA,Working Day,other,NA,August,August,August,2011,other,NA,Good,other,NA,224,2011-08-12,8,1167,1316.072552,4100,536,1051,3854,4905
Saturday,NA,other,Non-Holiday,other,NA,Fall,other,NA,Non-Working Day,other,NA,August,August,August,2011,other,NA,Clouds/Mist,other,NA,225,2011-08-13,8,1120,1306.611848,7200,938,1504,2646,4150
Sunday,NA,other,Non-Holiday,other,NA,Fall,other,NA,Non-Working Day,other,NA,August,August,August,2011,other,NA,Clouds/Mist,other,NA,226,2011-08-14,8,1073,1281.792528,8100,938,1338,2482,3820
Monday,NA,other,Non-Holiday,other,NA,Fall,other,NA,Working Day,other,NA,August,August,August,2011,other,NA,Good,other,NA,227,2011-08-15,8,1073,1272.289052,7100,871,775,3563,4338
Tuesday,NA,other,Non-Holiday,other,NA,Fall,other,NA,Working Day,other,NA,August,August,August,2011,other,NA,Good,other,NA,228,2011-08-16,8,1120,1306.587572,5700,1005,721,4004,4725
Wednesday,NA,other,Non-Holiday,other,NA,Fall,other,NA,Working Day,other,NA,August,August,August,2011,other,NA,Good,other,NA,229,2011-08-17,8,1167,1330.6716760000002,5700,603,668,4026,4694
Thursday,NA,other,Non-Holiday,other,NA,Fall,other,NA,Working Day,other,NA,August,August,August,2011,other,NA,Good,other,NA,230,2011-08-18,8,1167,1325.570248,6500,1005,639,3166,3805
Friday,NA,other,Non-Holiday,other,NA,Fall,other,NA,Working Day,other,NA,August,August,August,2011,other,NA,Clouds/Mist,other,NA,231,2011-08-19,8,1120,1292.0034760000003,7200,603,797,3356,4153
Saturday,NA,other,Non-Holiday,other,NA,Fall,other,NA,Non-Working Day,other,NA,August,August,August,2011,other,NA,Good,other,NA,232,2011-08-20,8,1120,1310.2393760000002,6700,402,1914,3277,5191
Sunday,NA,other,Non-Holiday,other,NA,Fall,other,NA,Non-Working Day,other,NA,August,August,August,2011,other,NA,Good,other,NA,233,2011-08-21,8,1167,1340.9069,7700,1072,1249,2624,3873
Monday,NA,other,Non-Holiday,other,NA,Fall,other,NA,Working Day,other,NA,August,August,August,2011,other,NA,Good,other,NA,234,2011-08-22,8,1120,1297.8216240000002,4700,1206,833,3925,4758
Tuesday,NA,other,Non-Holiday,other,NA,Fall,other,NA,Working Day,other,NA,August,August,August,2011,other,NA,Good,other,NA,235,2011-08-23,8,1026,1260.613452,4500,603,1281,4614,5895
Wednesday,NA,other,Non-Holiday,other,NA,Fall,other,NA,Working Day,other,NA,August,August,August,2011,other,NA,Good,other,NA,236,2011-08-24,8,1073,1289.079952,6000,1072,949,4181,5130
Thursday,NA,other,Non-Holiday,other,NA,Fall,other,NA,Working Day,other,NA,August,August,August,2011,other,NA,Clouds/Mist,other,NA,237,2011-08-25,8,1120,1306.6072239999999,7700,938,435,3107,3542
Friday,NA,other,Non-Holiday,other,NA,Fall,other,NA,Working Day,other,NA,August,August,August,2011,other,NA,Good,other,NA,238,2011-08-26,8,1120,1322.6513479999999,7600,335,768,3893,4661
Saturday,NA,other,Non-Holiday,other,NA,Fall,other,NA,Non-Working Day,other,NA,August,August,August,2011,other,NA,Clouds/Mist,other,NA,239,2011-08-27,8,1073,1294.7027359999997,8500,1675,226,889,1115
Sunday,NA,other,Non-Holiday,other,NA,Fall,other,NA,Non-Working Day,other,NA,August,August,August,2011,other,NA,Good,other,NA,240,2011-08-28,8,1167,1309.040604,5600,1340,1415,2919,4334
Monday,NA,other,Non-Holiday,other,NA,Fall,other,NA,Working Day,other,NA,August,August,August,2011,other,NA,Good,other,NA,241,2011-08-29,8,979,1262.799448,5500,670,729,3905,4634
Tuesday,NA,other,Non-Holiday,other,NA,Fall,other,NA,Working Day,other,NA,August,August,August,2011,other,NA,Good,other,NA,242,2011-08-30,8,1026,1247.477824,5400,536,775,4429,5204
Wednesday,NA,other,Non-Holiday,other,NA,Fall,other,NA,Working Day,other,NA,August,August,August,2011,other,NA,Good,other,NA,243,2011-08-31,8,1026,1266.455876,5900,335,688,4370,5058
Thursday,NA,other,Non-Holiday,other,NA,Fall,other,NA,Working Day,other,NA,September,September,September,2011,other,NA,Good,other,NA,244,2011-09-01,9,1026,1270.848676,6300,603,783,4332,5115
Friday,NA,other,Non-Holiday,other,NA,Fall,other,NA,Working Day,other,NA,September,September,September,2011,other,NA,Clouds/Mist,other,NA,245,2011-09-02,9,1026,1259.1580480000002,7200,603,875,3852,4727
Saturday,NA,other,Non-Holiday,other,NA,Fall,other,NA,Non-Working Day,other,NA,September,September,September,2011,other,NA,Good,other,NA,246,2011-09-03,9,1073,1291.9942279999998,7100,804,1935,2549,4484
Sunday,NA,other,Non-Holiday,other,NA,Fall,other,NA,Non-Working Day,other,NA,September,September,September,2011,other,NA,Good,other,NA,247,2011-09-04,9,1167,1329.235924,7400,871,2521,2419,4940
Monday,NA,other,Holiday,other,NA,Fall,other,NA,Non-Working Day,other,NA,September,September,September,2011,other,NA,Clouds/Mist,other,NA,248,2011-09-05,9,1073,1283.246776,7900,938,1236,2115,3351
Tuesday,NA,other,Non-Holiday,other,NA,Fall,other,NA,Working Day,other,NA,September,September,September,2011,other,NA,Rain/Snow/Storm,other,NA,249,2011-09-06,9,791,1155.5712,8800,1541,204,2506,2710
Wednesday,NA,other,Non-Holiday,other,NA,Fall,other,NA,Working Day,other,NA,September,September,September,2011,other,NA,Rain/Snow/Storm,other,NA,250,2011-09-07,9,932,1189.128724,9100,402,118,1878,1996
Thursday,NA,other,Non-Holiday,other,NA,Fall,other,NA,Working Day,other,NA,September,September,September,2011,other,NA,Rain/Snow/Storm,other,NA,251,2011-09-08,9,979,1201.997316,9300,804,153,1689,1842
Friday,NA,other,Non-Holiday,other,NA,Fall,other,NA,Working Day,other,NA,September,September,September,2011,other,NA,Clouds/Mist,other,NA,252,2011-09-09,9,1026,1229.2615759999999,8900,536,417,3127,3544
Saturday,NA,other,Non-Holiday,other,NA,Fall,other,NA,Non-Working Day,other,NA,September,September,September,2011,other,NA,Good,other,NA,253,2011-09-10,9,1073,1262.8040720000001,7500,670,1750,3595,5345
Sunday,NA,other,Non-Holiday,other,NA,Fall,other,NA,Non-Working Day,other,NA,September,September,September,2011,other,NA,Good,other,NA,254,2011-09-11,9,1026,1264.268724,7100,469,1633,3413,5046
Monday,NA,other,Non-Holiday,other,NA,Fall,other,NA,Working Day,other,NA,September,September,September,2011,other,NA,Good,other,NA,255,2011-09-12,9,1026,1256.06228,6900,335,690,4023,4713
Tuesday,NA,other,Non-Holiday,other,NA,Fall,other,NA,Working Day,other,NA,September,September,September,2011,other,NA,Good,other,NA,256,2011-09-13,9,1026,1257.7084240000002,7100,603,701,4062,4763
Wednesday,NA,other,Non-Holiday,other,NA,Fall,other,NA,Working Day,other,NA,September,September,September,2011,other,NA,Good,other,NA,257,2011-09-14,9,1073,1284.6964,6900,737,647,4138,4785
Thursday,NA,other,Non-Holiday,other,NA,Fall,other,NA,Working Day,other,NA,September,September,September,2011,other,NA,Clouds/Mist,other,NA,258,2011-09-15,9,885,1200.0436760000002,7000,1206,428,3231,3659
Friday,NA,other,Non-Holiday,other,NA,Fall,other,NA,Working Day,other,NA,September,September,September,2011,other,NA,Clouds/Mist,other,NA,259,2011-09-16,9,650,1093.4651000000001,5900,737,742,4018,4760
Saturday,NA,other,Non-Holiday,other,NA,Fall,other,NA,Non-Working Day,other,NA,September,September,September,2011,other,NA,Clouds/Mist,other,NA,260,2011-09-17,9,697,1113.159872,7100,804,1434,3077,4511
Sunday,NA,other,Non-Holiday,other,NA,Fall,other,NA,Non-Working Day,other,NA,September,September,September,2011,other,NA,Good,other,NA,261,2011-09-18,9,697,1127.060772,6900,737,1353,2921,4274
Monday,NA,other,Non-Holiday,other,NA,Fall,other,NA,Working Day,other,NA,September,September,September,2011,other,NA,Clouds/Mist,other,NA,262,2011-09-19,9,791,1172.3043,6900,670,691,3848,4539
Tuesday,NA,other,Non-Holiday,other,NA,Fall,other,NA,Working Day,other,NA,September,September,September,2011,other,NA,Clouds/Mist,other,NA,263,2011-09-20,9,838,1175.2428519999999,8800,603,438,3203,3641
Wednesday,NA,other,Non-Holiday,other,NA,Fall,other,NA,Working Day,other,NA,September,September,September,2011,other,NA,Clouds/Mist,other,NA,264,2011-09-21,9,885,1196.416148,9000,402,539,3813,4352
Thursday,NA,other,Non-Holiday,other,NA,Fall,other,NA,Working Day,other,NA,September,September,September,2011,other,NA,Clouds/Mist,other,NA,265,2011-09-22,9,979,1201.537228,9000,536,555,4240,4795
Friday,NA,other,Non-Holiday,other,NA,Winter,other,NA,Working Day,other,NA,September,September,September,2011,other,NA,Clouds/Mist,other,NA,266,2011-09-23,9,932,1163.5765,9700,335,258,2137,2395
Saturday,NA,other,Non-Holiday,other,NA,Winter,other,NA,Non-Working Day,other,NA,September,September,September,2011,other,NA,Clouds/Mist,other,NA,267,2011-09-24,9,932,1212.4602720000003,8600,335,1776,3647,5423
Sunday,NA,other,Non-Holiday,other,NA,Winter,other,NA,Non-Working Day,other,NA,September,September,September,2011,other,NA,Clouds/Mist,other,NA,268,2011-09-25,9,979,1221.9683719999998,8400,201,1544,3466,5010
Monday,NA,other,Non-Holiday,other,NA,Winter,other,NA,Working Day,other,NA,September,September,September,2011,other,NA,Clouds/Mist,other,NA,269,2011-09-26,9,1026,1240.932552,8400,469,684,3946,4630
Tuesday,NA,other,Non-Holiday,other,NA,Winter,other,NA,Working Day,other,NA,September,September,September,2011,other,NA,Clouds/Mist,other,NA,270,2011-09-27,9,979,1224.1509,8800,469,477,3643,4120
Wednesday,NA,other,Non-Holiday,other,NA,Winter,other,NA,Working Day,other,NA,September,September,September,2011,other,NA,Clouds/Mist,other,NA,271,2011-09-28,9,979,1224.882648,8400,603,480,3427,3907
Thursday,NA,other,Non-Holiday,other,NA,Winter,other,NA,Working Day,other,NA,September,September,September,2011,other,NA,Good,other,NA,272,2011-09-29,9,932,1224.135872,6900,737,653,4186,4839
Friday,NA,other,Non-Holiday,other,NA,Winter,other,NA,Working Day,other,NA,September,September,September,2011,other,NA,Good,other,NA,273,2011-09-30,9,838,1189.822324,6400,871,830,4372,5202
