original_record,call_time,description
"14:25    TRANSFERRED CALL-ALLIED AGENCY                          1904100118Occurred on Miners Ranch Rd, in Oroville. RP CALLED ON 911 ADV OF AN ACCIDENT.  TRANSFER TO CHP.  Service Class: RESD. . Disposition: Transfer Other Agency.",14:25,"    TRANSFERRED CALL-ALLIED AGENCY                          1904100118Occurred on Miners Ranch Rd, in Oroville. RP CALLED ON 911 ADV OF AN ACCIDENT.  TRANSFER TO CHP.  Service Class: RESD. . Disposition: Transfer Other Agency."
"14:30    MISCELLANEOUS-OTHER SERVICE                             1904100119Occurred at Magalia Substation on Skyway. , in Magalia. RP NEEDS  TICKET SIGNED OFF. VEH: SILVER SUBARU. . Disposition: No Report Taken.",14:30,"    MISCELLANEOUS-OTHER SERVICE                             1904100119Occurred at Magalia Substation on Skyway. , in Magalia. RP NEEDS  TICKET SIGNED OFF. VEH: SILVER SUBARU. . Disposition: No Report Taken."
"14:30    TRANSFERRED CALL-ALLIED AGENCY                          1904100120Occurred at Skyway Lookout Point on Skyway/Media Way. , in Chico. TRANSFER TO CHPCellular E911 Call: Service Class: W911. . Disposition: Transfer Other Agency.",14:30,"    TRANSFERRED CALL-ALLIED AGENCY                          1904100120Occurred at Skyway Lookout Point on Skyway/Media Way. , in Chico. TRANSFER TO CHPCellular E911 Call: Service Class: W911. . Disposition: Transfer Other Agency."
"14:30    911 HANGUP-OPEN LINE-UNKNOWN TROUBLE                    1904100121Occurred at Forest Service Genetic Resource Center on Cramer Ln. , in Chico. 911 HANG UP. NO ANSWER ON CALL BACK Service Class: BUSN. . Disposition: No Report Taken.",14:30,"    911 HANGUP-OPEN LINE-UNKNOWN TROUBLE                    1904100121Occurred at Forest Service Genetic Resource Center on Cramer Ln. , in Chico. 911 HANG UP. NO ANSWER ON CALL BACK Service Class: BUSN. . Disposition: No Report Taken."
"14:36    FORGERY-FRAUD                                           1904100123Occurred on Fairhill Dr, in Oroville. 10-21 RP - RP REPORTING FRAUD. . Disposition: No Report Taken.",14:36,"    FORGERY-FRAUD                                           1904100123Occurred on Fairhill Dr, in Oroville. 10-21 RP - RP REPORTING FRAUD. . Disposition: No Report Taken."
"14:37    TRANSFERRED CALL-ALLIED AGENCY                          1904100124Occurred on Miners Ranch Rd, in Oroville. RP CALLED ON 911 REQ TO SPEAK W/CHP.  TRANSFER TO CHP. Service Class: RESD. . Disposition: Transfer Other Agency.",14:37,"    TRANSFERRED CALL-ALLIED AGENCY                          1904100124Occurred on Miners Ranch Rd, in Oroville. RP CALLED ON 911 REQ TO SPEAK W/CHP.  TRANSFER TO CHP. Service Class: RESD. . Disposition: Transfer Other Agency."
"14:40    BURGLARY                                                1904100125Occurred at Table Mountain Ecological Reserve on Cherokee Rd. , in Oroville. CHP CELL 911 TRANSFER - RP ADV HER VEHICLE WAS BROKEN INTO AND THE RP'S FRIEND'S PURSE WAS TAKEN.  RP IS STANDING BY IN THE PARKING LOT. VEHICLE: SILVER TOYOTA MATRIX Cellular E911 Call: Service Class: WPH2. . Disposition: Report Taken.",14:40,"    BURGLARY                                                1904100125Occurred at Table Mountain Ecological Reserve on Cherokee Rd. , in Oroville. CHP CELL 911 TRANSFER - RP ADV HER VEHICLE WAS BROKEN INTO AND THE RP'S FRIEND'S PURSE WAS TAKEN.  RP IS STANDING BY IN THE PARKING LOT. VEHICLE: SILVER TOYOTA MATRIX Cellular E911 Call: Service Class: WPH2. . Disposition: Report Taken."
"14:44    TRANSFERRED CALL-ALLIED AGENCY                          1904100127Occurred at Hwy 149/HWY 99, in Oroville. CELL 911 CALL - RP ADV OF A RECKLESS DRIVER.  TRANSFER TO CHP.  Cellular E911 Call: Service Class: W911. . Disposition: Transfer Other Agency.",14:44,"    TRANSFERRED CALL-ALLIED AGENCY                          1904100127Occurred at Hwy 149/HWY 99, in Oroville. CELL 911 CALL - RP ADV OF A RECKLESS DRIVER.  TRANSFER TO CHP.  Cellular E911 Call: Service Class: W911. . Disposition: Transfer Other Agency."
"14:51    THEFT                                                   1904100128Occurred on Silver Leaf Dr, in Oroville. RP REPORTING A STOLEN TOOL BOX, NFD, LINE DISCONNECTED . . Disposition: Report Taken.",14:51,"    THEFT                                                   1904100128Occurred on Silver Leaf Dr, in Oroville. RP REPORTING A STOLEN TOOL BOX, NFD, LINE DISCONNECTED . . Disposition: Report Taken."
"14:57    MALICIOUS MISCHIEF-PC594                                1904100129Occurred at Wheelock Rd/Durham Pentz Rd, in Butte Valley. RP ADVISED THAT ON THE 31ST OF MARCH HIS MOTORCYCLE WAS 594. . Disposition: Report Taken.",14:57,"    MALICIOUS MISCHIEF-PC594                                1904100129Occurred at Wheelock Rd/Durham Pentz Rd, in Butte Valley. RP ADVISED THAT ON THE 31ST OF MARCH HIS MOTORCYCLE WAS 594. . Disposition: Report Taken."
"15:17    MALICIOUS MISCHIEF-PC594                                1904100130Occurred on Magnolia Dr, in Magalia. RP ADVISED THAT A MALE JUVE THREW A ROCK INTO HER GARAGE WINDOW. RP IS REQUESTING CONTACT. . Disposition: Report Taken.",15:17,"    MALICIOUS MISCHIEF-PC594                                1904100130Occurred on Magnolia Dr, in Magalia. RP ADVISED THAT A MALE JUVE THREW A ROCK INTO HER GARAGE WINDOW. RP IS REQUESTING CONTACT. . Disposition: Report Taken."
"15:19    THEFT                                                   1904100131Occurred on Township Rd, in Gridley. RP ADV A TOYOTA FORKLIFT WAS STOLEN FROM HER FARMS PROPERTY POSSIBLY RELATED TO 19-02408. . Disposition: Supp To A Case.",15:19,"    THEFT                                                   1904100131Occurred on Township Rd, in Gridley. RP ADV A TOYOTA FORKLIFT WAS STOLEN FROM HER FARMS PROPERTY POSSIBLY RELATED TO 19-02408. . Disposition: Supp To A Case."
"15:22    FOUND PROPERTY                                          1904100132Occurred on Tuscan Dr, in Paradise. RP ADV HE WAS TOLD TO CALL IF HE FOUND ANYTHING ON THE PROPERTY. RP ADVISED HE FOUND A GUN CASE. RP ADVISED IT IN THE BACK LEFT OF THE HOUSE. . Disposition: No Report Taken.",15:22,"    FOUND PROPERTY                                          1904100132Occurred on Tuscan Dr, in Paradise. RP ADV HE WAS TOLD TO CALL IF HE FOUND ANYTHING ON THE PROPERTY. RP ADVISED HE FOUND A GUN CASE. RP ADVISED IT IN THE BACK LEFT OF THE HOUSE. . Disposition: No Report Taken."
"15:25    TRANSFERRED CALL-ALLIED AGENCY                          1904100133Occurred on Mirage Lake Rd, in Berry Creek. RP REPORTING A STOLEN VEHICLE.  TRANSFER TO CHP. . Disposition: Transfer Other Agency.",15:25,"    TRANSFERRED CALL-ALLIED AGENCY                          1904100133Occurred on Mirage Lake Rd, in Berry Creek. RP REPORTING A STOLEN VEHICLE.  TRANSFER TO CHP. . Disposition: Transfer Other Agency."
"15:37    911 HANGUP-OPEN LINE-UNKNOWN TROUBLE                    1904100134Occurred at Oroville Chico Hwy/Estates Dr, in Chico. CELL 911 HANG UP.  PLOTTED TO THE CELL TOWER.  ON CALL BACK RP ADV OF A MISDIAL.  Cellular E911 Call: Service Class: W911. . Disposition: Log Note Only.",15:37,"    911 HANGUP-OPEN LINE-UNKNOWN TROUBLE                    1904100134Occurred at Oroville Chico Hwy/Estates Dr, in Chico. CELL 911 HANG UP.  PLOTTED TO THE CELL TOWER.  ON CALL BACK RP ADV OF A MISDIAL.  Cellular E911 Call: Service Class: W911. . Disposition: Log Note Only."
"15:44    TRANSFERRED CALL-ALLIED AGENCY                          1904100136Occurred on Glenwood Ave, in Chico. RP CALLED ON 911 FOR A LIFT ASSIST.  TRANSFER TO CALFIRE. Service Class: RESD. . Disposition: Transfer Other Agency.",15:44,"    TRANSFERRED CALL-ALLIED AGENCY                          1904100136Occurred on Glenwood Ave, in Chico. RP CALLED ON 911 FOR A LIFT ASSIST.  TRANSFER TO CALFIRE. Service Class: RESD. . Disposition: Transfer Other Agency."
"15:49    TRESPASSING-PROWLING                                    1904100137Occurred on Feather River Blvd, in Oroville. CELL 911 CALL - ***APPROX 100 YARDS EAST OF THE MAIN GATE***RP ADV OF A SUBJ THAT IS REFUSING TO LEAVE.   SUBJ: WFA, 50S, 502, BLN HAIR LSW: BLACK FUR LOOKING COAT, JEANS, SANDALS Cellular E911 Call: Service Class: WPH2. . Disposition: No Report Taken.",15:49,"    TRESPASSING-PROWLING                                    1904100137Occurred on Feather River Blvd, in Oroville. CELL 911 CALL - ***APPROX 100 YARDS EAST OF THE MAIN GATE***RP ADV OF A SUBJ THAT IS REFUSING TO LEAVE.   SUBJ: WFA, 50S, 502, BLN HAIR LSW: BLACK FUR LOOKING COAT, JEANS, SANDALS Cellular E911 Call: Service Class: WPH2. . Disposition: No Report Taken."
"15:58    LOG ENTRY FROM-CITIZEN NO ACTION TAKEN                  1904100138Occurred on Skyway, in Magalia. RP CALLING TO LET BCSO KNOW THAT SHE HAS A LOCAL RELATOR GOING TO THE PROPERTY WITHIN THE NEXT TO DAYS. RP ADVISED THAT SHE HAS INSTRUCTED HIM TO REMOVE A BOARD AND MAKE ENTRY INTO THE HOUSE TO ASSESS IT. . Disposition: Log Note Only.",15:58,"    LOG ENTRY FROM-CITIZEN NO ACTION TAKEN                  1904100138Occurred on Skyway, in Magalia. RP CALLING TO LET BCSO KNOW THAT SHE HAS A LOCAL RELATOR GOING TO THE PROPERTY WITHIN THE NEXT TO DAYS. RP ADVISED THAT SHE HAS INSTRUCTED HIM TO REMOVE A BOARD AND MAKE ENTRY INTO THE HOUSE TO ASSESS IT. . Disposition: Log Note Only."
"16:01    TRAFFIC STOP                                            1904100139Officer initiated activity at Hwy 70/CLARK Rd, Oroville. . Disposition: Report Taken.",16:01,"    TRAFFIC STOP                                            1904100139Officer initiated activity at Hwy 70/CLARK Rd, Oroville. . Disposition: Report Taken."
"16:05    MISCELLANEOUS-INFORMATION                               1904100140Occurred at Unknown Location - Oroville on Hwy 70/OROVILLE Dam Blvd W. , in Oroville. RP REQ TO SPEAK W/71 - RP ADV 71 WAS LOOKING INTO A POSS AMBER ALERT AND ISSUES W/THE RP'S PHONE. . Disposition: No Report Taken.",16:05,"    MISCELLANEOUS-INFORMATION                               1904100140Occurred at Unknown Location - Oroville on Hwy 70/OROVILLE Dam Blvd W. , in Oroville. RP REQ TO SPEAK W/71 - RP ADV 71 WAS LOOKING INTO A POSS AMBER ALERT AND ISSUES W/THE RP'S PHONE. . Disposition: No Report Taken."
"16:06    WARRANT-SO                                              1904100141Occurred on Cherokee Rd, in Oroville. SEE COMMENTS. . Disposition: No Report Taken.",16:06,"    WARRANT-SO                                              1904100141Occurred on Cherokee Rd, in Oroville. SEE COMMENTS. . Disposition: No Report Taken."
"16:18    TRANSFERRED CALL-ALLIED AGENCY                          1904100142Occurred at Nord Ave/W East Ave, in Chico. RP ADV OF A SUBJECT RUNNING IN TRAFFIC. RP XFER TO CHP. Cellular E911 Call: Service Class: WPH2. . Disposition: Transfer Other Agency.",16:18,"    TRANSFERRED CALL-ALLIED AGENCY                          1904100142Occurred at Nord Ave/W East Ave, in Chico. RP ADV OF A SUBJECT RUNNING IN TRAFFIC. RP XFER TO CHP. Cellular E911 Call: Service Class: WPH2. . Disposition: Transfer Other Agency."
"16:26    TRAFFIC STOP                                            1904100146Officer initiated activity at Holiday Market - Paradise, Skyway, Paradise. . Disposition: Warning (Cite/Verbal).",16:26,"    TRAFFIC STOP                                            1904100146Officer initiated activity at Holiday Market - Paradise, Skyway, Paradise. . Disposition: Warning (Cite/Verbal)."
"16:40    911 HANGUP-OPEN LINE-UNKNOWN TROUBLE                    1904100147Occurred at Oak Ave/Oro Quincy Ave, in Oroville. RP ADV THAT A FEMALE WAS YELLING FOR HER SON FROM A HOUSE AND HE THOUGHT SHE WAS YELLING FOR HELP. NEG EMERGENC AT THE LOCATION. Cellular E911 Call: Service Class: W911. . Disposition: No Report Taken.",16:40,"    911 HANGUP-OPEN LINE-UNKNOWN TROUBLE                    1904100147Occurred at Oak Ave/Oro Quincy Ave, in Oroville. RP ADV THAT A FEMALE WAS YELLING FOR HER SON FROM A HOUSE AND HE THOUGHT SHE WAS YELLING FOR HELP. NEG EMERGENC AT THE LOCATION. Cellular E911 Call: Service Class: W911. . Disposition: No Report Taken."
"16:44    911 HANGUP-OPEN LINE-UNKNOWN TROUBLE                    1904100148Occurred at Afton Rd/Wickman Rd, in Biggs. 51 METERS @ 90 PERCENT. 911 HANG UP.  ON CALL BACK SPOKE W/A CODE 4 MALE WHO WAS UNAWARE HE DIALED. MALE WAS CODE 4 AND DRIVING. Lon:-121.779048Service Class: WPH2. . Disposition: Log Note Only.",16:44,"    911 HANGUP-OPEN LINE-UNKNOWN TROUBLE                    1904100148Occurred at Afton Rd/Wickman Rd, in Biggs. 51 METERS @ 90 PERCENT. 911 HANG UP.  ON CALL BACK SPOKE W/A CODE 4 MALE WHO WAS UNAWARE HE DIALED. MALE WAS CODE 4 AND DRIVING. Lon:-121.779048Service Class: WPH2. . Disposition: Log Note Only."
"16:46    TRAFFIC STOP                                            1904100149Officer initiated activity at Hwy 99/GARNER Ln, Chico. UNIT ON TRAFFIC STOP NORTHBOUND 99. . Disposition: Warning (Cite/Verbal).",16:46,"    TRAFFIC STOP                                            1904100149Officer initiated activity at Hwy 99/GARNER Ln, Chico. UNIT ON TRAFFIC STOP NORTHBOUND 99. . Disposition: Warning (Cite/Verbal)."
"16:46    WARRANT-SO                                              1904100151Officer initiated activity at Concow Rd, (Unknown Address), Concow. U17, U48, U68 AND A COUPLE OTHER ACS UNITS ENRT TO THE LOC. . Disposition: No Report Taken.",16:46,"    WARRANT-SO                                              1904100151Officer initiated activity at Concow Rd, (Unknown Address), Concow. U17, U48, U68 AND A COUPLE OTHER ACS UNITS ENRT TO THE LOC. . Disposition: No Report Taken."
"16:49    WARRANT-SO                                              1904100152Occurred on Windermere Ln, in Concow. U17,U48 U68 AND ACS UNITS ATC AT THIS LOC. . Disposition: Log Note Only.",16:49,"    WARRANT-SO                                              1904100152Occurred on Windermere Ln, in Concow. U17,U48 U68 AND ACS UNITS ATC AT THIS LOC. . Disposition: Log Note Only."
"17:16    MISCELLANEOUS-OTHER SERVICE                             1904100153Officer initiated activity at Alexander Ave, Gridley. . Disposition: No Report Taken.",17:16,"    MISCELLANEOUS-OTHER SERVICE                             1904100153Officer initiated activity at Alexander Ave, Gridley. . Disposition: No Report Taken."
"17:19    911 HANGUP-OPEN LINE-UNKNOWN TROUBLE                    1904100155Occurred on Chaparral Dr, in Oroville. 911 OPEN LINE. RP ADVISED PHONE WAS MISDIALLEDService Class: VOIP. . Disposition: Log Note Only.",17:19,"    911 HANGUP-OPEN LINE-UNKNOWN TROUBLE                    1904100155Occurred on Chaparral Dr, in Oroville. 911 OPEN LINE. RP ADVISED PHONE WAS MISDIALLEDService Class: VOIP. . Disposition: Log Note Only."
"17:46    SUSPICIOUS AUTO                                         1904100156Occurred at Behind The 2 Story Apartments on 7TH St/Plumas Ave. , in Oroville. RP CALLING TO REPORT A 66V PARKED IN A FIELD WITH A MALE SUBJ LIVING INSIDE IT, NO FURTHER DESC.VEH DESC: SIL P/C W/BLANKETS OVER IT. . Disposition: No Report Taken.",17:46,"    SUSPICIOUS AUTO                                         1904100156Occurred at Behind The 2 Story Apartments on 7TH St/Plumas Ave. , in Oroville. RP CALLING TO REPORT A 66V PARKED IN A FIELD WITH A MALE SUBJ LIVING INSIDE IT, NO FURTHER DESC.VEH DESC: SIL P/C W/BLANKETS OVER IT. . Disposition: No Report Taken."
"17:51    SUSPICIOUS AUTO                                         1904100157Occurred on Stanford Ln, in Durham. ON THE LEVEE BEHIND THE HOUSE2 QUADS ARE ON THE LEVEE , 2 WMA, BLUE AND RED QUAD. . Disposition: Unable To Locate.",17:51,"    SUSPICIOUS AUTO                                         1904100157Occurred on Stanford Ln, in Durham. ON THE LEVEE BEHIND THE HOUSE2 QUADS ARE ON THE LEVEE , 2 WMA, BLUE AND RED QUAD. . Disposition: Unable To Locate."
"17:51    ASSIST TO OTHER AGENCY                                  1904100158Occurred on Lower Honcut Rd, in Honcut. RP CALLING TO REPORT A GERMAN SHEPARD OUTSIDE HER FENCE LINE THAT IS LOOSE, UNK WHERE IT CAME FROM OR WHO IT BELONGS TO.DOG DESC: MALE GERMAN SHEPARD, NO FURTHER DESC. . Disposition: Unable To Locate.",17:51,"    ASSIST TO OTHER AGENCY                                  1904100158Occurred on Lower Honcut Rd, in Honcut. RP CALLING TO REPORT A GERMAN SHEPARD OUTSIDE HER FENCE LINE THAT IS LOOSE, UNK WHERE IT CAME FROM OR WHO IT BELONGS TO.DOG DESC: MALE GERMAN SHEPARD, NO FURTHER DESC. . Disposition: Unable To Locate."
"17:55    DISTURBANCE - FIGHT                                     1904100160Occurred at 16TH St/Grand Ave, in Oroville. RP ADV THAT THEY JUST WITNESSED A 415 PHYSICAL. ONE BMA AND WMA. WEAPON LIKE A BAT OR A CLUB USED, NOTHING ELSE SEENONE SUBJECT LEFT IN A WHITE SEDAN AND OTHER LEFT ON FOOT. NO ONE LOOKED LIKE THEY NEEDED MEDICAL ATTENTION. Cellular E911 Call: Service Class: WPH2. . Disposition: Unable To Locate.",17:55,"    DISTURBANCE - FIGHT                                     1904100160Occurred at 16TH St/Grand Ave, in Oroville. RP ADV THAT THEY JUST WITNESSED A 415 PHYSICAL. ONE BMA AND WMA. WEAPON LIKE A BAT OR A CLUB USED, NOTHING ELSE SEENONE SUBJECT LEFT IN A WHITE SEDAN AND OTHER LEFT ON FOOT. NO ONE LOOKED LIKE THEY NEEDED MEDICAL ATTENTION. Cellular E911 Call: Service Class: WPH2. . Disposition: Unable To Locate."
"17:57    WELFARE CHECK-MISCELLANEOUS                             1904100161Occurred on Wild Rose Pl, in Feather Falls. SEE COMMENTS. . Disposition: No Report Taken.",17:57,"    WELFARE CHECK-MISCELLANEOUS                             1904100161Occurred on Wild Rose Pl, in Feather Falls. SEE COMMENTS. . Disposition: No Report Taken."
"17:58    SUSPICIOUS AUTO                                         1904100162Officer initiated activity at Glenwood Dr, Magalia. UNITS ATC. . Disposition: No Report Taken.",17:58,"    SUSPICIOUS AUTO                                         1904100162Officer initiated activity at Glenwood Dr, Magalia. UNITS ATC. . Disposition: No Report Taken."
"17:58    SUSPICIOUS CIRCUMSTANCES                                1904100163Occurred at Near Eastside Field on Southgate Ave/Entler Ave. , in Chico. RP CALLING TO REPORT AN OLDER MAN TRYING TO GET A TEENAGE BOY INTO THE CAR. IN FRONT OF FRANKLIN CONSTRUCTION SIGNVEH DESC: GOLD OLDER TOYOTA CAMRYOLDER MALE SUBJ: WMA LSW: UNKJUVE: WMJ AGE: 12-13 CURLY HAIRCellular E911 Call: Service Class: WPH2. . Disposition: No Report Taken.",17:58,"    SUSPICIOUS CIRCUMSTANCES                                1904100163Occurred at Near Eastside Field on Southgate Ave/Entler Ave. , in Chico. RP CALLING TO REPORT AN OLDER MAN TRYING TO GET A TEENAGE BOY INTO THE CAR. IN FRONT OF FRANKLIN CONSTRUCTION SIGNVEH DESC: GOLD OLDER TOYOTA CAMRYOLDER MALE SUBJ: WMA LSW: UNKJUVE: WMJ AGE: 12-13 CURLY HAIRCellular E911 Call: Service Class: WPH2. . Disposition: No Report Taken."
"18:07    TRANSFERRED CALL-ALLIED AGENCY                          1904100164Occurred at Oroville Rescue Mission on Lincoln Blvd. , in Oroville. Cellular E911 Call: Service Class: W911. . Disposition: Transfer Other Agency.",18:07,"    TRANSFERRED CALL-ALLIED AGENCY                          1904100164Occurred at Oroville Rescue Mission on Lincoln Blvd. , in Oroville. Cellular E911 Call: Service Class: W911. . Disposition: Transfer Other Agency."
"18:07    SUSPICIOUS PERSON                                       1904100165Officer initiated activity at Concow Rd/Hwy 70, Concow. OUT WITH SUBJECT. . Disposition: Arrest Made.",18:07,"    SUSPICIOUS PERSON                                       1904100165Officer initiated activity at Concow Rd/Hwy 70, Concow. OUT WITH SUBJECT. . Disposition: Arrest Made."
"18:08    WELFARE CHECK-MISCELLANEOUS                             1904100166Officer initiated activity at Glenwood Dr, Magalia. . Disposition: No Report Taken.",18:08,"    WELFARE CHECK-MISCELLANEOUS                             1904100166Officer initiated activity at Glenwood Dr, Magalia. . Disposition: No Report Taken."
"18:14    MALICIOUS MISCHIEF-PC594                                1904100167Occurred on Cana Pine Creek Rd, in Chico. RP CALLING TO REPORT HER HUSBAND LEFT ABOUT A MONTH AGO, THEY ARE IN THE MIDDLE OF A DIVORCE AND THINGS ARE TURNING UP MISSING, A WINDOW WAS BROKEN AND WIRES HAVE BEEN CUT ON THE SIDE OF THE HOUSE. RP ADV SHE ASKED HER EX ABOUT THE WIRES BEING CUT ON THE SIDE OF THE HOUSE AND HE ADV HE DOESN'T KNOW WHAT SHE IS TALKING ABOUT AND TO CALL BCSO. RP ADV SHE NOW HAS A TRO AGAINST THE SUBJ AND IS UNABLE TO TALK TO HIM ABOUT THE OTHER THINGS HAPPENING. . Disposition: No Report Taken.",18:14,"    MALICIOUS MISCHIEF-PC594                                1904100167Occurred on Cana Pine Creek Rd, in Chico. RP CALLING TO REPORT HER HUSBAND LEFT ABOUT A MONTH AGO, THEY ARE IN THE MIDDLE OF A DIVORCE AND THINGS ARE TURNING UP MISSING, A WINDOW WAS BROKEN AND WIRES HAVE BEEN CUT ON THE SIDE OF THE HOUSE. RP ADV SHE ASKED HER EX ABOUT THE WIRES BEING CUT ON THE SIDE OF THE HOUSE AND HE ADV HE DOESN'T KNOW WHAT SHE IS TALKING ABOUT AND TO CALL BCSO. RP ADV SHE NOW HAS A TRO AGAINST THE SUBJ AND IS UNABLE TO TALK TO HIM ABOUT THE OTHER THINGS HAPPENING. . Disposition: No Report Taken."
"18:29    TRAFFIC STOP                                            1904100168Officer initiated activity at Feather River Blvd/Oroville Dam Blvd E, Oroville. . Disposition: Warning (Cite/Verbal).",18:29,"    TRAFFIC STOP                                            1904100168Officer initiated activity at Feather River Blvd/Oroville Dam Blvd E, Oroville. . Disposition: Warning (Cite/Verbal)."
"18:29    911 HANGUP-OPEN LINE-UNKNOWN TROUBLE                    1904100169Occurred on Oak Way, in Chico. 9-1-1 MISDIALCellular E911 Call: Service Class: WPH2. . Disposition: Log Note Only.",18:29,"    911 HANGUP-OPEN LINE-UNKNOWN TROUBLE                    1904100169Occurred on Oak Way, in Chico. 9-1-1 MISDIALCellular E911 Call: Service Class: WPH2. . Disposition: Log Note Only."
"18:32    FOUND PROPERTY                                          1904100170Officer initiated activity at Mission Olive Rd, Oroville. . Disposition: Report Taken.",18:32,"    FOUND PROPERTY                                          1904100170Officer initiated activity at Mission Olive Rd, Oroville. . Disposition: Report Taken."
"18:34    TRAFFIC STOP                                            1904100171Officer initiated activity at Larkin Rd/Vance Ave, Biggs. . Disposition: Warning (Cite/Verbal).",18:34,"    TRAFFIC STOP                                            1904100171Officer initiated activity at Larkin Rd/Vance Ave, Biggs. . Disposition: Warning (Cite/Verbal)."
"18:35    TRANSFERRED CALL-ALLIED AGENCY                          1904100172Occurred at Skyway/Indian Dr, in Magalia. RP ADVISED SHE SMELLED SMOKE WHILE DRIVING BY THE CHURCH. RP XFER TO CAL FIRE. Cellular E911 Call: Service Class: WPH2. . Disposition: Transfer Other Agency.",18:35,"    TRANSFERRED CALL-ALLIED AGENCY                          1904100172Occurred at Skyway/Indian Dr, in Magalia. RP ADVISED SHE SMELLED SMOKE WHILE DRIVING BY THE CHURCH. RP XFER TO CAL FIRE. Cellular E911 Call: Service Class: WPH2. . Disposition: Transfer Other Agency."
"18:43    EXTRA PATROL-MISCELLANEOUS                              1904100174Officer initiated activity at Obrien Ave/Gilstrap Ave, Gridley. U31 10-85 FOR AN ATV THAT FLEDDESC: RED QUAD, MALE RIDER FEMALE PASSENGER. . Disposition: Unable To Locate.",18:43,"    EXTRA PATROL-MISCELLANEOUS                              1904100174Officer initiated activity at Obrien Ave/Gilstrap Ave, Gridley. U31 10-85 FOR AN ATV THAT FLEDDESC: RED QUAD, MALE RIDER FEMALE PASSENGER. . Disposition: Unable To Locate."
"18:51    911 HANGUP-OPEN LINE-UNKNOWN TROUBLE                    1904100175Occurred at Hwy 99/TURNER Ave, in Gridley. 911H, NOTHING HEARD. ON CB SPOKE WITH A FEMALE WHO ADV ACCIDENTAL DIAL.Cellular E911 Call: Service Class: W911. . Disposition: Log Note Only.",18:51,"    911 HANGUP-OPEN LINE-UNKNOWN TROUBLE                    1904100175Occurred at Hwy 99/TURNER Ave, in Gridley. 911H, NOTHING HEARD. ON CB SPOKE WITH A FEMALE WHO ADV ACCIDENTAL DIAL.Cellular E911 Call: Service Class: W911. . Disposition: Log Note Only."
"18:54    TRANSFERRED CALL-ALLIED AGENCY                          1904100177Occurred at Feather Falls Mobile Estates on Palermo Rd. , in Palermo. Cellular E911 Call: Service Class: W911. . Disposition: Transfer Other Agency.",18:54,"    TRANSFERRED CALL-ALLIED AGENCY                          1904100177Occurred at Feather Falls Mobile Estates on Palermo Rd. , in Palermo. Cellular E911 Call: Service Class: W911. . Disposition: Transfer Other Agency."
"18:55    TRAFFIC STOP                                            1904100178Officer initiated activity at Hwy 70/GARDEN Dr, Oroville. . Disposition: Warning (Cite/Verbal).",18:55,"    TRAFFIC STOP                                            1904100178Officer initiated activity at Hwy 70/GARDEN Dr, Oroville. . Disposition: Warning (Cite/Verbal)."
"19:02    TRAFFIC STOP                                            1904100179Officer initiated activity at W Liberty Rd/Rowdy Rd, Gridley. . Disposition: Warning (Cite/Verbal).",19:02,"    TRAFFIC STOP                                            1904100179Officer initiated activity at W Liberty Rd/Rowdy Rd, Gridley. . Disposition: Warning (Cite/Verbal)."
"19:07    TRANSFERRED CALL-ALLIED AGENCY                          1904100180Occurred on Hunter Dr, in Oroville. MEDICAL TRANSFER Service Class: VOIP. . Disposition: Transfer Other Agency.",19:07,"    TRANSFERRED CALL-ALLIED AGENCY                          1904100180Occurred on Hunter Dr, in Oroville. MEDICAL TRANSFER Service Class: VOIP. . Disposition: Transfer Other Agency."
"19:08    TRAFFIC STOP                                            1904100181Officer initiated activity at Feather AVE/20TH St, Oroville. 47 ON A TRAFFIC STOP. . Disposition: Warning (Cite/Verbal).",19:08,"    TRAFFIC STOP                                            1904100181Officer initiated activity at Feather AVE/20TH St, Oroville. 47 ON A TRAFFIC STOP. . Disposition: Warning (Cite/Verbal)."
"19:17    MISCELLANEOUS-INFORMATION                               1904100182Occurred on Big O Rd, in Oroville. RP REQ TO SPEAK TO A DEPUTY ABOUT ON GOING HARASSMENT. . Disposition: No Report Taken.",19:17,"    MISCELLANEOUS-INFORMATION                               1904100182Occurred on Big O Rd, in Oroville. RP REQ TO SPEAK TO A DEPUTY ABOUT ON GOING HARASSMENT. . Disposition: No Report Taken."
"19:32    TRESPASSING-PROWLING                                    1904100185Occurred at Feather Falls Casino on Alverda Dr. , in Oroville. . Disposition: Arrest Made.",19:32,"    TRESPASSING-PROWLING                                    1904100185Occurred at Feather Falls Casino on Alverda Dr. , in Oroville. . Disposition: Arrest Made."
