weekday,weekday_chr,weekday_fct,holiday,holiday_chr,holiday_fct,season,season_chr,season_fct,workingday,workingday_chr,workingday_fct,month_ord,month_fct,yr,yr_chr,yr_fct,weathersit,weathersit_chr,weathersit_fct,instant,dteday,mnth,temp,atemp,hum,windspeed,casual,registered,cnt
2,Tuesday,Tuesday,0,Non-Holiday,Non-Holiday,2,Summer,Summer,1,Working Day,Working Day,May,May,0,2011,2011,2,Clouds/Mist,Clouds/Mist,123,2011-05-03,5,20,35.790686,69,22,603,3848,4451
3,Wednesday,Wednesday,0,Non-Holiday,Non-Holiday,2,Summer,Summer,1,Working Day,Working Day,May,May,0,2011,2011,2,Clouds/Mist,Clouds/Mist,124,2011-05-04,5,11,29.7581,73,22,255,2378,2633
4,Thursday,Thursday,0,Non-Holiday,Non-Holiday,2,Summer,Summer,1,Working Day,Working Day,May,May,0,2011,2011,1,Good,Good,125,2011-05-05,5,13,31.025178,44,19,614,3819,4433
5,Friday,Friday,0,Non-Holiday,Non-Holiday,2,Summer,Summer,1,Working Day,Working Day,May,May,0,2011,2011,1,Good,Good,126,2011-05-06,5,14,32.119978,59,15,894,3714,4608
6,Saturday,Saturday,0,Non-Holiday,Non-Holiday,2,Summer,Summer,0,Non-Working Day,Non-Working Day,May,May,0,2011,2011,1,Good,Good,127,2011-05-07,5,16,33.429114,54,10,1612,3102,4714
0,Sunday,Sunday,0,Non-Holiday,Non-Holiday,2,Summer,Summer,0,Non-Working Day,Non-Working Day,May,May,0,2011,2011,1,Good,Good,128,2011-05-08,5,16,33.643722,63,5,1401,2932,4333
1,Monday,Monday,0,Non-Holiday,Non-Holiday,2,Summer,Summer,1,Working Day,Working Day,May,May,0,2011,2011,1,Good,Good,129,2011-05-09,5,17,33.858363999999995,58,11,664,3698,4362
2,Tuesday,Tuesday,0,Non-Holiday,Non-Holiday,2,Summer,Summer,1,Working Day,Working Day,May,May,0,2011,2011,1,Good,Good,130,2011-05-10,5,17,33.772514,48,7,694,4109,4803
3,Wednesday,Wednesday,0,Non-Holiday,Non-Holiday,2,Summer,Summer,1,Working Day,Working Day,May,May,0,2011,2011,1,Good,Good,131,2011-05-11,5,17,33.965599999999995,63,8,550,3632,4182
4,Thursday,Thursday,0,Non-Holiday,Non-Holiday,2,Summer,Summer,1,Working Day,Working Day,May,May,0,2011,2011,1,Good,Good,132,2011-05-12,5,17,33.794342,74,12,695,4169,4864
5,Friday,Friday,0,Non-Holiday,Non-Holiday,2,Summer,Summer,1,Working Day,Working Day,May,May,0,2011,2011,2,Clouds/Mist,Clouds/Mist,133,2011-05-13,5,16,32.806200000000004,86,12,692,3413,4105
6,Saturday,Saturday,0,Non-Holiday,Non-Holiday,2,Summer,Summer,0,Non-Working Day,Non-Working Day,May,May,0,2011,2011,2,Clouds/Mist,Clouds/Mist,134,2011-05-14,5,16,33.021386,92,9,902,2507,3409
0,Sunday,Sunday,0,Non-Holiday,Non-Holiday,2,Summer,Summer,0,Non-Working Day,Non-Working Day,May,May,0,2011,2011,2,Clouds/Mist,Clouds/Mist,135,2011-05-15,5,18,34.224000000000004,86,10,1582,2971,4553
1,Monday,Monday,0,Non-Holiday,Non-Holiday,2,Summer,Summer,1,Working Day,Working Day,May,May,0,2011,2011,1,Good,Good,136,2011-05-16,5,19,34.717408,78,8,773,3185,3958
2,Tuesday,Tuesday,0,Non-Holiday,Non-Holiday,2,Summer,Summer,1,Working Day,Working Day,May,May,0,2011,2011,2,Clouds/Mist,Clouds/Mist,137,2011-05-17,5,18,34.309986,83,18,678,3445,4123
3,Wednesday,Wednesday,0,Non-Holiday,Non-Holiday,2,Summer,Summer,1,Working Day,Working Day,May,May,0,2011,2011,2,Clouds/Mist,Clouds/Mist,138,2011-05-18,5,17,33.923372,87,13,536,3319,3855
4,Thursday,Thursday,0,Non-Holiday,Non-Holiday,2,Summer,Summer,1,Working Day,Working Day,May,May,0,2011,2011,2,Clouds/Mist,Clouds/Mist,139,2011-05-19,5,16,33.365228,82,7,735,3840,4575
5,Friday,Friday,0,Non-Holiday,Non-Holiday,2,Summer,Summer,1,Working Day,Working Day,May,May,0,2011,2011,1,Good,Good,140,2011-05-20,5,17,33.987428,71,8,909,4008,4917
6,Saturday,Saturday,0,Non-Holiday,Non-Holiday,2,Summer,Summer,0,Non-Working Day,Non-Working Day,May,May,0,2011,2011,1,Good,Good,141,2011-05-21,5,20,35.44715,62,8,2258,3547,5805
0,Sunday,Sunday,0,Non-Holiday,Non-Holiday,2,Summer,Summer,0,Non-Working Day,Non-Working Day,May,May,0,2011,2011,1,Good,Good,142,2011-05-22,5,20,35.533,74,9,1576,3084,4660
1,Monday,Monday,0,Non-Holiday,Non-Holiday,2,Summer,Summer,1,Working Day,Working Day,May,May,0,2011,2011,2,Clouds/Mist,Clouds/Mist,143,2011-05-23,5,21,36.070064,81,15,836,3438,4274
2,Tuesday,Tuesday,0,Non-Holiday,Non-Holiday,2,Summer,Summer,1,Working Day,Working Day,May,May,0,2011,2011,2,Clouds/Mist,Clouds/Mist,144,2011-05-24,5,23,36.563642,74,13,659,3833,4492
3,Wednesday,Wednesday,0,Non-Holiday,Non-Holiday,2,Summer,Summer,1,Working Day,Working Day,May,May,0,2011,2011,1,Good,Good,145,2011-05-25,5,23,36.928428,69,10,740,4238,4978
4,Thursday,Thursday,0,Non-Holiday,Non-Holiday,2,Summer,Summer,1,Working Day,Working Day,May,May,0,2011,2011,1,Good,Good,146,2011-05-26,5,25,38.259392000000005,67,13,758,3919,4677
5,Friday,Friday,0,Non-Holiday,Non-Holiday,2,Summer,Summer,1,Working Day,Working Day,May,May,0,2011,2011,1,Good,Good,147,2011-05-27,5,24,37.658272,65,16,871,3808,4679
6,Saturday,Saturday,0,Non-Holiday,Non-Holiday,2,Summer,Summer,0,Non-Working Day,Non-Working Day,May,May,0,2011,2011,1,Good,Good,148,2011-05-28,5,22,36.820886,72,15,2001,2757,4758
0,Sunday,Sunday,0,Non-Holiday,Non-Holiday,2,Summer,Summer,0,Non-Working Day,Non-Working Day,May,May,0,2011,2011,1,Good,Good,149,2011-05-29,5,23,36.928700000000006,81,14,2355,2433,4788
1,Monday,Monday,1,Holiday,Holiday,2,Summer,Summer,0,Non-Working Day,Non-Working Day,May,May,0,2011,2011,1,Good,Good,150,2011-05-30,5,26,38.817128,68,8,1549,2549,4098
2,Tuesday,Tuesday,0,Non-Holiday,Non-Holiday,2,Summer,Summer,1,Working Day,Working Day,May,May,0,2011,2011,1,Good,Good,151,2011-05-31,5,28,40.663022,63,7,673,3309,3982
3,Wednesday,Wednesday,0,Non-Holiday,Non-Holiday,2,Summer,Summer,1,Working Day,Working Day,Jun,June,0,2011,2011,2,Clouds/Mist,Clouds/Mist,152,2011-06-01,6,27,40.512878,67,13,513,3461,3974
4,Thursday,Thursday,0,Non-Holiday,Non-Holiday,2,Summer,Summer,1,Working Day,Working Day,Jun,June,0,2011,2011,1,Good,Good,153,2011-06-02,6,25,37.894028,30,19,736,4232,4968
5,Friday,Friday,0,Non-Holiday,Non-Holiday,2,Summer,Summer,1,Working Day,Working Day,Jun,June,0,2011,2011,1,Good,Good,154,2011-06-03,6,21,35.962522,35,16,898,4414,5312
6,Saturday,Saturday,0,Non-Holiday,Non-Holiday,2,Summer,Summer,0,Non-Working Day,Non-Working Day,Jun,June,0,2011,2011,1,Good,Good,155,2011-06-04,6,21,36.219664,45,8,1869,3473,5342
0,Sunday,Sunday,0,Non-Holiday,Non-Holiday,2,Summer,Summer,0,Non-Working Day,Non-Working Day,Jun,June,0,2011,2011,2,Clouds/Mist,Clouds/Mist,156,2011-06-05,6,22,36.971336,65,9,1685,3221,4906
1,Monday,Monday,0,Non-Holiday,Non-Holiday,2,Summer,Summer,1,Working Day,Working Day,Jun,June,0,2011,2011,1,Good,Good,157,2011-06-06,6,23,37.143172,60,8,673,3875,4548
2,Tuesday,Tuesday,0,Non-Holiday,Non-Holiday,2,Summer,Summer,1,Working Day,Working Day,Jun,June,0,2011,2011,1,Good,Good,158,2011-06-07,6,25,38.3023,59,12,763,4070,4833
3,Wednesday,Wednesday,0,Non-Holiday,Non-Holiday,2,Summer,Summer,1,Working Day,Working Day,Jun,June,0,2011,2011,1,Good,Good,159,2011-06-08,6,28,40.727486,62,9,676,3725,4401
4,Thursday,Thursday,0,Non-Holiday,Non-Holiday,2,Summer,Summer,1,Working Day,Working Day,Jun,June,0,2011,2011,2,Clouds/Mist,Clouds/Mist,160,2011-06-09,6,29,41.757686,56,10,563,3352,3915
5,Friday,Friday,0,Non-Holiday,Non-Holiday,2,Summer,Summer,1,Working Day,Working Day,Jun,June,0,2011,2011,1,Good,Good,161,2011-06-10,6,27,39.911928,60,9,815,3771,4586
6,Saturday,Saturday,0,Non-Holiday,Non-Holiday,2,Summer,Summer,0,Non-Working Day,Non-Working Day,Jun,June,0,2011,2011,1,Good,Good,162,2011-06-11,6,26,39.053292,65,10,1729,3237,4966
0,Sunday,Sunday,0,Non-Holiday,Non-Holiday,2,Summer,Summer,0,Non-Working Day,Non-Working Day,Jun,June,0,2011,2011,1,Good,Good,163,2011-06-12,6,24,37.873050000000006,74,10,1467,2993,4460
1,Monday,Monday,0,Non-Holiday,Non-Holiday,2,Summer,Summer,1,Working Day,Working Day,Jun,June,0,2011,2011,1,Good,Good,164,2011-06-13,6,21,36.456236000000004,49,20,863,4157,5020
2,Tuesday,Tuesday,0,Non-Holiday,Non-Holiday,2,Summer,Summer,1,Working Day,Working Day,Jun,June,0,2011,2011,1,Good,Good,165,2011-06-14,6,20,36.112564,50,18,727,4164,4891
3,Wednesday,Wednesday,0,Non-Holiday,Non-Holiday,2,Summer,Summer,1,Working Day,Working Day,Jun,June,0,2011,2011,1,Good,Good,166,2011-06-15,6,21,35.983636000000004,47,11,769,4411,5180
4,Thursday,Thursday,0,Non-Holiday,Non-Holiday,2,Summer,Summer,1,Working Day,Working Day,Jun,June,0,2011,2011,2,Clouds/Mist,Clouds/Mist,167,2011-06-16,6,21,36.241764,68,13,545,3222,3767
5,Friday,Friday,0,Non-Holiday,Non-Holiday,2,Summer,Summer,1,Working Day,Working Day,Jun,June,0,2011,2011,1,Good,Good,168,2011-06-17,6,22,36.413022,73,9,863,3981,4844
6,Saturday,Saturday,0,Non-Holiday,Non-Holiday,2,Summer,Summer,0,Non-Working Day,Non-Working Day,Jun,June,0,2011,2011,1,Good,Good,169,2011-06-18,6,24,37.894436,67,8,1807,3312,5119
0,Sunday,Sunday,0,Non-Holiday,Non-Holiday,2,Summer,Summer,0,Non-Working Day,Non-Working Day,Jun,June,0,2011,2011,2,Clouds/Mist,Clouds/Mist,170,2011-06-19,6,24,37.958764,66,6,1639,3105,4744
1,Monday,Monday,0,Non-Holiday,Non-Holiday,2,Summer,Summer,1,Working Day,Working Day,Jun,June,0,2011,2011,2,Clouds/Mist,Clouds/Mist,171,2011-06-20,6,21,36.241764,74,10,699,3311,4010
2,Tuesday,Tuesday,0,Non-Holiday,Non-Holiday,3,Fall,Fall,1,Working Day,Working Day,Jun,June,0,2011,2011,2,Clouds/Mist,Clouds/Mist,172,2011-06-21,6,23,37.679964,77,11,774,4061,4835
3,Wednesday,Wednesday,0,Non-Holiday,Non-Holiday,3,Fall,Fall,1,Working Day,Working Day,Jun,June,0,2011,2011,1,Good,Good,173,2011-06-22,6,26,39.590186,70,11,661,3846,4507
4,Thursday,Thursday,0,Non-Holiday,Non-Holiday,3,Fall,Fall,1,Working Day,Working Day,Jun,June,0,2011,2011,2,Clouds/Mist,Clouds/Mist,174,2011-06-23,6,26,39.590322,70,15,746,4044,4790
5,Friday,Friday,0,Non-Holiday,Non-Holiday,3,Fall,Fall,1,Working Day,Working Day,Jun,June,0,2011,2011,1,Good,Good,175,2011-06-24,6,26,38.323822,57,14,969,4022,4991
6,Saturday,Saturday,0,Non-Holiday,Non-Holiday,3,Fall,Fall,0,Non-Working Day,Non-Working Day,Jun,June,0,2011,2011,1,Good,Good,176,2011-06-25,6,24,37.872642,48,14,1782,3420,5202
0,Sunday,Sunday,0,Non-Holiday,Non-Holiday,3,Fall,Fall,0,Non-Working Day,Non-Working Day,Jun,June,0,2011,2011,1,Good,Good,177,2011-06-26,6,23,37.679386,51,6,1920,3385,5305
1,Monday,Monday,0,Non-Holiday,Non-Holiday,3,Fall,Fall,1,Working Day,Working Day,Jun,June,0,2011,2011,2,Clouds/Mist,Clouds/Mist,178,2011-06-27,6,24,37.658136,65,7,854,3854,4708
2,Tuesday,Tuesday,0,Non-Holiday,Non-Holiday,3,Fall,Fall,1,Working Day,Working Day,Jun,June,0,2011,2011,1,Good,Good,179,2011-06-28,6,26,39.546972,63,9,732,3916,4648
3,Wednesday,Wednesday,0,Non-Holiday,Non-Holiday,3,Fall,Fall,1,Working Day,Working Day,Jun,June,0,2011,2011,1,Good,Good,180,2011-06-29,6,26,38.259392000000005,49,17,848,4377,5225
4,Thursday,Thursday,0,Non-Holiday,Non-Holiday,3,Fall,Fall,1,Working Day,Working Day,Jun,June,0,2011,2011,1,Good,Good,181,2011-06-30,6,24,37.658272,43,12,1027,4488,5515
5,Friday,Friday,0,Non-Holiday,Non-Holiday,3,Fall,Fall,1,Working Day,Working Day,Jul,July,0,2011,2011,1,Good,Good,182,2011-07-01,7,25,38.173508,39,6,1246,4116,5362
6,Saturday,Saturday,0,Non-Holiday,Non-Holiday,3,Fall,Fall,0,Non-Working Day,Non-Working Day,Jul,July,0,2011,2011,1,Good,Good,183,2011-07-02,7,26,38.688472000000004,44,7,2204,2915,5119
0,Sunday,Sunday,0,Non-Holiday,Non-Holiday,3,Fall,Fall,0,Non-Working Day,Non-Working Day,Jul,July,0,2011,2011,2,Clouds/Mist,Clouds/Mist,184,2011-07-03,7,25,38.73155,68,15,2282,2367,4649
1,Monday,Monday,1,Holiday,Holiday,3,Fall,Fall,0,Non-Working Day,Non-Working Day,Jul,July,0,2011,2011,2,Clouds/Mist,Clouds/Mist,185,2011-07-04,7,26,38.624178,63,5,3065,2978,6043
2,Tuesday,Tuesday,0,Non-Holiday,Non-Holiday,3,Fall,Fall,1,Working Day,Working Day,Jul,July,0,2011,2011,1,Good,Good,186,2011-07-05,7,27,39.675492000000006,59,8,1031,3634,4665
3,Wednesday,Wednesday,0,Non-Holiday,Non-Holiday,3,Fall,Fall,1,Working Day,Working Day,Jul,July,0,2011,2011,1,Good,Good,187,2011-07-06,7,25,39.311522,74,10,784,3845,4629
4,Thursday,Thursday,0,Non-Holiday,Non-Holiday,3,Fall,Fall,1,Working Day,Working Day,Jul,July,0,2011,2011,1,Good,Good,188,2011-07-07,7,27,39.353614,65,10,754,3838,4592
5,Friday,Friday,0,Non-Holiday,Non-Holiday,3,Fall,Fall,1,Working Day,Working Day,Jul,July,0,2011,2011,2,Clouds/Mist,Clouds/Mist,189,2011-07-08,7,25,38.79642200000001,75,15,692,3348,4040
6,Saturday,Saturday,0,Non-Holiday,Non-Holiday,3,Fall,Fall,0,Non-Working Day,Non-Working Day,Jul,July,0,2011,2011,1,Good,Good,190,2011-07-09,7,26,38.581372,60,11,1988,3348,5336
0,Sunday,Sunday,0,Non-Holiday,Non-Holiday,3,Fall,Fall,0,Non-Working Day,Non-Working Day,Jul,July,0,2011,2011,1,Good,Good,191,2011-07-10,7,27,39.46085,57,12,1743,3138,4881
1,Monday,Monday,0,Non-Holiday,Non-Holiday,3,Fall,Fall,1,Working Day,Working Day,Jul,July,0,2011,2011,1,Good,Good,192,2011-07-11,7,27,40.813336,63,18,723,3363,4086
2,Tuesday,Tuesday,0,Non-Holiday,Non-Holiday,3,Fall,Fall,1,Working Day,Working Day,Jul,July,0,2011,2011,1,Good,Good,193,2011-07-12,7,29,41.13535,55,13,662,3596,4258
3,Wednesday,Wednesday,0,Non-Holiday,Non-Holiday,3,Fall,Fall,1,Working Day,Working Day,Jul,July,0,2011,2011,1,Good,Good,194,2011-07-13,7,27,39.439735999999996,63,9,748,3594,4342
4,Thursday,Thursday,0,Non-Holiday,Non-Holiday,3,Fall,Fall,1,Working Day,Working Day,Jul,July,0,2011,2011,1,Good,Good,195,2011-07-14,7,23,37.593536,47,16,888,4196,5084
5,Friday,Friday,0,Non-Holiday,Non-Holiday,3,Fall,Fall,1,Working Day,Working Day,Jul,July,0,2011,2011,1,Good,Good,196,2011-07-15,7,23,37.228614,59,12,1318,4220,5538
6,Saturday,Saturday,0,Non-Holiday,Non-Holiday,3,Fall,Fall,0,Non-Working Day,Non-Working Day,Jul,July,0,2011,2011,1,Good,Good,197,2011-07-16,7,24,37.700942,58,13,2418,3505,5923
0,Sunday,Sunday,0,Non-Holiday,Non-Holiday,3,Fall,Fall,0,Non-Working Day,Non-Working Day,Jul,July,0,2011,2011,1,Good,Good,198,2011-07-17,7,25,38.774322,60,16,2006,3296,5302
1,Monday,Monday,0,Non-Holiday,Non-Holiday,3,Fall,Fall,1,Working Day,Working Day,Jul,July,0,2011,2011,1,Good,Good,199,2011-07-18,7,27,39.93345,65,14,841,3617,4458
2,Tuesday,Tuesday,0,Non-Holiday,Non-Holiday,3,Fall,Fall,1,Working Day,Working Day,Jul,July,0,2011,2011,1,Good,Good,200,2011-07-19,7,28,41.414286000000004,65,8,752,3789,4541
3,Wednesday,Wednesday,0,Non-Holiday,Non-Holiday,3,Fall,Fall,1,Working Day,Working Day,Jul,July,0,2011,2011,1,Good,Good,201,2011-07-20,7,28,41.3929,70,7,644,3688,4332
4,Thursday,Thursday,0,Non-Holiday,Non-Holiday,3,Fall,Fall,1,Working Day,Working Day,Jul,July,0,2011,2011,2,Clouds/Mist,Clouds/Mist,202,2011-07-21,7,30,44.096614,69,14,632,3152,3784
5,Friday,Friday,0,Non-Holiday,Non-Holiday,3,Fall,Fall,1,Working Day,Working Day,Jul,July,0,2011,2011,1,Good,Good,203,2011-07-22,7,31,44.590464,58,8,562,2825,3387
6,Saturday,Saturday,0,Non-Holiday,Non-Holiday,3,Fall,Fall,0,Non-Working Day,Non-Working Day,Jul,July,0,2011,2011,1,Good,Good,204,2011-07-23,7,31,43.345758000000004,50,8,987,2298,3285
0,Sunday,Sunday,0,Non-Holiday,Non-Holiday,3,Fall,Fall,0,Non-Working Day,Non-Working Day,Jul,July,0,2011,2011,1,Good,Good,205,2011-07-24,7,31,43.024186,55,11,1050,2556,3606
1,Monday,Monday,0,Non-Holiday,Non-Holiday,3,Fall,Fall,1,Working Day,Working Day,Jul,July,0,2011,2011,1,Good,Good,206,2011-07-25,7,26,40.512572,75,6,568,3272,3840
2,Tuesday,Tuesday,0,Non-Holiday,Non-Holiday,3,Fall,Fall,1,Working Day,Working Day,Jul,July,0,2011,2011,1,Good,Good,207,2011-07-26,7,28,39.697286000000005,54,13,750,3840,4590
3,Wednesday,Wednesday,0,Non-Holiday,Non-Holiday,3,Fall,Fall,1,Working Day,Working Day,Jul,July,0,2011,2011,1,Good,Good,208,2011-07-27,7,28,39.482678,40,12,755,3901,4656
4,Thursday,Thursday,0,Non-Holiday,Non-Holiday,3,Fall,Fall,1,Working Day,Working Day,Jul,July,0,2011,2011,1,Good,Good,209,2011-07-28,7,28,41.1566,58,11,606,3784,4390
5,Friday,Friday,0,Non-Holiday,Non-Holiday,3,Fall,Fall,1,Working Day,Working Day,Jul,July,0,2011,2011,1,Good,Good,210,2011-07-29,7,31,42.722877999999994,54,11,670,3176,3846
6,Saturday,Saturday,0,Non-Holiday,Non-Holiday,3,Fall,Fall,0,Non-Working Day,Non-Working Day,Jul,July,0,2011,2011,1,Good,Good,211,2011-07-30,7,29,40.770258,46,11,1559,2916,4475
0,Sunday,Sunday,0,Non-Holiday,Non-Holiday,3,Fall,Fall,0,Non-Working Day,Non-Working Day,Jul,July,0,2011,2011,1,Good,Good,212,2011-07-31,7,29,40.813064,48,11,1524,2778,4302
1,Monday,Monday,0,Non-Holiday,Non-Holiday,3,Fall,Fall,1,Working Day,Working Day,Aug,August,0,2011,2011,1,Good,Good,213,2011-08-01,8,28,39.911928,55,10,729,3537,4266
2,Tuesday,Tuesday,0,Non-Holiday,Non-Holiday,3,Fall,Fall,1,Working Day,Working Day,Aug,August,0,2011,2011,1,Good,Good,214,2011-08-02,8,28,40.040414,49,13,801,4044,4845
3,Wednesday,Wednesday,0,Non-Holiday,Non-Holiday,3,Fall,Fall,1,Working Day,Working Day,Aug,August,0,2011,2011,2,Clouds/Mist,Clouds/Mist,215,2011-08-03,8,26,39.117858,65,9,467,3107,3574
4,Thursday,Thursday,0,Non-Holiday,Non-Holiday,3,Fall,Fall,1,Working Day,Working Day,Aug,August,0,2011,2011,2,Clouds/Mist,Clouds/Mist,216,2011-08-04,8,25,38.602792,75,13,799,3777,4576
5,Friday,Friday,0,Non-Holiday,Non-Holiday,3,Fall,Fall,1,Working Day,Working Day,Aug,August,0,2011,2011,1,Good,Good,217,2011-08-05,8,25,38.323278,63,12,1023,3843,4866
6,Saturday,Saturday,0,Non-Holiday,Non-Holiday,3,Fall,Fall,0,Non-Working Day,Non-Working Day,Aug,August,0,2011,2011,2,Clouds/Mist,Clouds/Mist,218,2011-08-06,8,25,38.989236000000005,75,15,1521,2773,4294
0,Sunday,Sunday,0,Non-Holiday,Non-Holiday,3,Fall,Fall,0,Non-Working Day,Non-Working Day,Aug,August,0,2011,2011,1,Good,Good,219,2011-08-07,8,26,40.319928000000004,75,13,1298,2487,3785
1,Monday,Monday,0,Non-Holiday,Non-Holiday,3,Fall,Fall,1,Working Day,Working Day,Aug,August,0,2011,2011,1,Good,Good,220,2011-08-08,8,27,39.911622,59,12,846,3480,4326
2,Tuesday,Tuesday,0,Non-Holiday,Non-Holiday,3,Fall,Fall,1,Working Day,Working Day,Aug,August,0,2011,2011,1,Good,Good,221,2011-08-09,8,28,40.620114,57,10,907,3695,4602
3,Wednesday,Wednesday,0,Non-Holiday,Non-Holiday,3,Fall,Fall,1,Working Day,Working Day,Aug,August,0,2011,2011,1,Good,Good,222,2011-08-10,8,28,39.289422,42,13,884,3896,4780
4,Thursday,Thursday,0,Non-Holiday,Non-Holiday,3,Fall,Fall,1,Working Day,Working Day,Aug,August,0,2011,2011,1,Good,Good,223,2011-08-11,8,25,38.151714,42,11,812,3980,4792
5,Friday,Friday,0,Non-Holiday,Non-Holiday,3,Fall,Fall,1,Working Day,Working Day,Aug,August,0,2011,2011,1,Good,Good,224,2011-08-12,8,25,38.237428,41,8,1051,3854,4905
6,Saturday,Saturday,0,Non-Holiday,Non-Holiday,3,Fall,Fall,0,Non-Working Day,Non-Working Day,Aug,August,0,2011,2011,2,Clouds/Mist,Clouds/Mist,225,2011-08-13,8,24,37.959172,72,14,1504,2646,4150
0,Sunday,Sunday,0,Non-Holiday,Non-Holiday,3,Fall,Fall,0,Non-Working Day,Non-Working Day,Aug,August,0,2011,2011,2,Clouds/Mist,Clouds/Mist,226,2011-08-14,8,23,37.229192,81,14,1338,2482,3820
1,Monday,Monday,0,Non-Holiday,Non-Holiday,3,Fall,Fall,1,Working Day,Working Day,Aug,August,0,2011,2011,1,Good,Good,227,2011-08-15,8,23,36.949678000000006,71,13,775,3563,4338
2,Tuesday,Tuesday,0,Non-Holiday,Non-Holiday,3,Fall,Fall,1,Working Day,Working Day,Aug,August,0,2011,2011,1,Good,Good,228,2011-08-16,8,24,37.958458,57,15,721,4004,4725
3,Wednesday,Wednesday,0,Non-Holiday,Non-Holiday,3,Fall,Fall,1,Working Day,Working Day,Aug,August,0,2011,2011,1,Good,Good,229,2011-08-17,8,25,38.666814,57,9,668,4026,4694
4,Thursday,Thursday,0,Non-Holiday,Non-Holiday,3,Fall,Fall,1,Working Day,Working Day,Aug,August,0,2011,2011,1,Good,Good,230,2011-08-18,8,25,38.516772,65,15,639,3166,3805
5,Friday,Friday,0,Non-Holiday,Non-Holiday,3,Fall,Fall,1,Working Day,Working Day,Aug,August,0,2011,2011,2,Clouds/Mist,Clouds/Mist,231,2011-08-19,8,24,37.529514000000006,72,9,797,3356,4153
6,Saturday,Saturday,0,Non-Holiday,Non-Holiday,3,Fall,Fall,0,Non-Working Day,Non-Working Day,Aug,August,0,2011,2011,1,Good,Good,232,2011-08-20,8,24,38.065864000000005,67,6,1914,3277,5191
0,Sunday,Sunday,0,Non-Holiday,Non-Holiday,3,Fall,Fall,0,Non-Working Day,Non-Working Day,Aug,August,0,2011,2011,1,Good,Good,233,2011-08-21,8,25,38.96785,77,16,1249,2624,3873
1,Monday,Monday,0,Non-Holiday,Non-Holiday,3,Fall,Fall,1,Working Day,Working Day,Aug,August,0,2011,2011,1,Good,Good,234,2011-08-22,8,24,37.700636,47,18,833,3925,4758
2,Tuesday,Tuesday,0,Non-Holiday,Non-Holiday,3,Fall,Fall,1,Working Day,Working Day,Aug,August,0,2011,2011,1,Good,Good,235,2011-08-23,8,22,36.606278,45,9,1281,4614,5895
3,Wednesday,Wednesday,0,Non-Holiday,Non-Holiday,3,Fall,Fall,1,Working Day,Working Day,Aug,August,0,2011,2011,1,Good,Good,236,2011-08-24,8,23,37.443528,60,16,949,4181,5130
4,Thursday,Thursday,0,Non-Holiday,Non-Holiday,3,Fall,Fall,1,Working Day,Working Day,Aug,August,0,2011,2011,2,Clouds/Mist,Clouds/Mist,237,2011-08-25,8,24,37.959036,77,14,435,3107,3542
5,Friday,Friday,0,Non-Holiday,Non-Holiday,3,Fall,Fall,1,Working Day,Working Day,Aug,August,0,2011,2011,1,Good,Good,238,2011-08-26,8,24,38.430921999999995,76,5,768,3893,4661
6,Saturday,Saturday,0,Non-Holiday,Non-Holiday,3,Fall,Fall,0,Non-Working Day,Non-Working Day,Aug,August,0,2011,2011,2,Clouds/Mist,Clouds/Mist,239,2011-08-27,8,23,37.608903999999995,85,25,226,889,1115
0,Sunday,Sunday,0,Non-Holiday,Non-Holiday,3,Fall,Fall,0,Non-Working Day,Non-Working Day,Aug,August,0,2011,2011,1,Good,Good,240,2011-08-28,8,25,38.030606,56,20,1415,2919,4334
1,Monday,Monday,0,Non-Holiday,Non-Holiday,3,Fall,Fall,1,Working Day,Working Day,Aug,August,0,2011,2011,1,Good,Good,241,2011-08-29,8,21,36.670572,55,10,729,3905,4634
2,Tuesday,Tuesday,0,Non-Holiday,Non-Holiday,3,Fall,Fall,1,Working Day,Working Day,Aug,August,0,2011,2011,1,Good,Good,242,2011-08-30,8,22,36.219936000000004,54,8,775,4429,5204
3,Wednesday,Wednesday,0,Non-Holiday,Non-Holiday,3,Fall,Fall,1,Working Day,Working Day,Aug,August,0,2011,2011,1,Good,Good,243,2011-08-31,8,22,36.778114,59,5,688,4370,5058
4,Thursday,Thursday,0,Non-Holiday,Non-Holiday,3,Fall,Fall,1,Working Day,Working Day,Sep,September,0,2011,2011,1,Good,Good,244,2011-09-01,9,22,36.907314,63,9,783,4332,5115
5,Friday,Friday,0,Non-Holiday,Non-Holiday,3,Fall,Fall,1,Working Day,Working Day,Sep,September,0,2011,2011,2,Clouds/Mist,Clouds/Mist,245,2011-09-02,9,22,36.563472000000004,72,9,875,3852,4727
6,Saturday,Saturday,0,Non-Holiday,Non-Holiday,3,Fall,Fall,0,Non-Working Day,Non-Working Day,Sep,September,0,2011,2011,1,Good,Good,246,2011-09-03,9,23,37.529241999999996,71,12,1935,2549,4484
0,Sunday,Sunday,0,Non-Holiday,Non-Holiday,3,Fall,Fall,0,Non-Working Day,Non-Working Day,Sep,September,0,2011,2011,1,Good,Good,247,2011-09-04,9,25,38.624586,74,13,2521,2419,4940
1,Monday,Monday,1,Holiday,Holiday,3,Fall,Fall,0,Non-Working Day,Non-Working Day,Sep,September,0,2011,2011,2,Clouds/Mist,Clouds/Mist,248,2011-09-05,9,23,37.271964,79,14,1236,2115,3351
